Location,SKU,Product,Loc Name,Spoken Description,Starter Qty,State,lang_desc,Sequence,Verification
Bulk,203379,20OZ WM PL 8/3 GAT ZR LME CUCMBR,1,twenty ounce eight pack gatorade zero lime cucumber,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,321988,20OZ WM PL 8/3 GAT ZR WMLN SPLSH,3200,twenty ounce eight pack gatorade zero watermelon splash,0,ENABLED,ENGLISH,3200,ALLOWCHECKDIGITS
Bulk,196433,20OZ WM PL 8/3 GAT ZRO CL BLU,3360,twenty ounce eight pack gatorade zero cool blue,0,ENABLED,ENGLISH,3360,ALLOWCHECKDIGITS
Bulk,168491,20OZ WM PL 8/3 GAT ZRO GLCR CHE,3280,twenty ounce eight pack gatorade zero glacier cherry,0,ENABLED,ENGLISH,3280,ALLOWCHECKDIGITS
Full,168491,20OZ WM PL 8/3 GAT ZRO GLCR CHE,3280,twenty ounce eight pack gatorade zero glacier cherry,0,ENABLED,ENGLISH,3280,ALLOWCHECKDIGITS
Bulk,168776,20OZ WM PL 8/3 GAT ZRO GLCR FRZ,3290,twenty ounce eight three gatorade zero glacier freeze,0,ENABLED,ENGLISH,3290,ALLOWCHECKDIGITS
Bulk,168489,20OZ WM PL 8/3 GAT ZRO LL,3400,twenty ounce eight three gatorade zero lemon lime,0,ENABLED,ENGLISH,3400,ALLOWCHECKDIGITS
Bulk,168490,20OZ WM PL 8/3 GAT ZRO ORG,3380,twenty ounce eight three gatorade zero orange,0,ENABLED,ENGLISH,3380,ALLOWCHECKDIGITS
Bulk,196432,20OZ WM PL 8/3 GAT ZRO STW KW,3370,twenty ounce eight pack zero gatorade stawberry kiwi,0,ENABLED,ENGLISH,3370,ALLOWCHECKDIGITS
Bulk,136361,24OZ PL 1/12 PRPL BLK CHE,35,twenty four ounce propel black cherry,5,ENABLED,ENGLISH,9055,ALLOWCHECKDIGITS
Bulk,201641,24OZ PL 1/12 PRPL BLKCH 85CMFG,1,twenty four ounce propel zero black cherry,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,136360,24OZ PL 1/12 PRPL BRY,35,twenty four ounce propel zero berry,0,ENABLED,ENGLISH,9035,ALLOWCHECKDIGITS
Bulk,201639,24OZ PL 1/12 PRPL BRY 85CS MFG,1,twenty four ounce propel berry,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,136362,24OZ PL 1/12 PRPL GRP,35,twenty four ounce propel zero grape,0,ENABLED,ENGLISH,9030,ALLOWCHECKDIGITS
Bulk,201645,24OZ PL 1/12 PRPL GRP 85CS MFG,1,twenty four ounce propel zero grape,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,197171,24OZ PL 1/12 PRPL IMS LMN BKBR,35,twenty four ounce propel lemon black berry,0,ENABLED,ENGLISH,9050,ALLOWCHECKDIGITS
Bulk,203519,24OZ PL 1/12 PRPL IMS PNPP85C,1,24OZ PL 1/12 PRPL IMS PNPP85C,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,173485,24OZ PL 1/12 PRPL KW STW,35,twenty four ounce propel kiwi strawberry,0,ENABLED,ENGLISH,9040,ALLOWCHECKDIGITS
Bulk,201642,24OZ PL 1/12 PRPL KWSTW 85CMFG,1,twenty four ounce propel kiwi straw eighty five count,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,142008,24OZ PL 1/12 PRPL LMN,1,twenty four ounce propel lemon,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,148428,24OZ PL 1/12 PRPL PCH,30,twenty four ounce propel zero peach,1,ENABLED,ENGLISH,9045,ALLOWCHECKDIGITS
Bulk,201644,24OZ PL 1/12 PRPL PCH 85CS MFG,1,24OZ PL 1/12 PRPL ZRO PCH 85CS,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,164881,24OZ PL 1/12 PRPL STW LMND,1,twenty four ounce propel zero strawberry lemonade,0,ENABLED,ENGLISH,50,ALLOWCHECKDIGITS
Bulk,173481,24OZ PL 1/12 PRPL WMLN,35,twenty four ounce propel watermelon,0,ENABLED,ENGLISH,9025,ALLOWCHECKDIGITS
Bulk,200296,24OZ PL 1/12 PRPL ZRO  MGO,1,twenty four ounce propel zero mango,0,ENABLED,ENGLISH,130,ALLOWCHECKDIGITS
Bulk,94182,24OZ PL 1/24 GAT GAT BLU,4460,twenty four ounce gatorade cool blue,0,ENABLED,ENGLISH,4460,ALLOWCHECKDIGITS
Bulk,94191,24OZ PL 1/24 GAT GAT FT PNCH,4450,twenty four ounce gatorade fruit punch,0,ENABLED,ENGLISH,4450,ALLOWCHECKDIGITS
Bulk,94200,24OZ PL 1/24 GAT GAT LL,3440,twenty four ounce gatorade lemon lime,0,ENABLED,ENGLISH,3440,ALLOWCHECKDIGITS
Bulk,209503,28OZ PL 1/15 GA GFIT BLKB RSP,1,twenty eight ounce gatorade fit black raspberry,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,325334,28OZ PL 1/15 GAT AQUA BLAST,2510,twenty eight ounce gatorade aqua blast ,0,ENABLED,ENGLISH,2510,ALLOWCHECKDIGITS
Bulk,133934,28OZ PL 1/15 GAT BLU,2440,twenty eight ounce gatorade cool blue,0,ENABLED,ENGLISH,2440,ALLOWCHECKDIGITS
Full,133934,28OZ PL 1/15 GAT BLU,2440,twenty eight ounce gatorade cool blue,0,ENABLED,ENGLISH,2440,ALLOWCHECKDIGITS
Layer,133934,28OZ PL 1/15 GAT BLU,125,twenty eight ounce gatorade cool blue,0,ENABLED,ENGLISH,125,ALLOWCHECKDIGITS
Bulk,324720,28OZ PL 1/15 GAT BLU DRPONLY,999,28 ounce gatorade cool blue display,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,324723,28OZ PL 1/15 GAT FP DRPONLY,999,28 ounce gatorade fruit punch display,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,141440,28OZ PL 1/15 GAT FR GRN APL,2400,twenty eight ounce gatorade green apple,0,ENABLED,ENGLISH,2400,ALLOWCHECKDIGITS
